RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
78543,18213,117961,118386,118746,118747,160002,118453,118749,1
26356,16850,117961,118225,119092,120591,120592,119095,120593,1
17226,17227,117961,118343,118979,118826,158101,118424,118828,1
6977,5916,117961,118446,16232,122551,128532,118762,122552,1
35955,26320,117961,118327,118391,117905,240983,290919,117908,1
25831,51740,118752,119070,118754,118805,130913,118474,118807,1
43425,25618,117961,118225,118320,120690,120691,290919,120692,1
77375,5.62E+04,118602,118603,118008,118568,118568,19721,118570,0
15022,3967,117961,118052,118706,117905,117906,290919,117908,1
74550,3053,117961,118225,120663,124886,132017,118643,124888,1
76299,50322,117959,117960,119424,179731,119617,117887,117973,1
100003,1012,117961,118225,119924,118321,117906,290919,118322,1
79121,79111,117961,118343,149210,118293,310608,118295,118296,1
6977,7547,117961,118327,118933,117905,117906,290919,117908,1
87091,3944,117961,118343,118514,117905,240983,290919,117908,1
81305,50997,117961,118052,119408,117905,117906,290919,117908,1
732,770,117961,118300,118437,118451,130134,118453,118454,1
17226,4100,118290,118291,120291,119928,278266,118331,119929,0
73798,1550,117961,118225,123173,118054,120514,117887,118055,1
6712,7510,117961,118446,118684,118784,118785,290919,118786,1
19666,56153,117961,117969,19666,179731,179731,117887,117973,1
80920,3973,118887,118888,118631,120789,309694,118424,120791,1
34924,34826,118555,118178,118320,118321,117906,290919,118322,1
80546,2062,117961,118327,119830,120773,118959,118960,120774,1
34801,2803,117961,117962,126930,119587,145659,118704,119589,1
278393,70130,118595,118596,81476,118826,158101,118424,118828,1
100976,4478,117961,118386,118746,117905,240983,290919,117908,1
42085,51124,117961,118300,118631,118422,161852,118424,118425,1
77332,6137,117961,118225,119924,118259,117906,290919,118261,1
40189,7893,117961,118343,118979,119433,133686,118424,119435,1
80850,17759,117961,118413,122007,118685,120316,308574,118687,1
73547,17264,117961,118300,118825,307024,127752,118331,118332,1
35903,7229,117902,117903,127168,118321,117906,290919,118322,1
42610,770,117961,118300,119181,118451,130134,118453,118454,1
14354,14695,118602,118603,118008,118568,125168,19721,118570,1
34714,25618,117961,118327,118320,118784,121556,290919,118786,1
16985,7578,117961,118343,118437,117905,117906,290919,117908,1
14354,71279,118219,118220,118221,117899,117897,19721,117900,1
23497,124625,118725,118726,119076,1.18E+05,300136,118424,1.18E+05,1
23961,16101,119134,119135,118970,118396,305245,118398,118399,1
42006,85475,117961,118300,120410,118321,117906,290919,118322,1
41758,294953,118315,118316,179069,118636,128316,118638,118639,1
22682,17759,117961,118413,122007,118685,120316,308574,118687,1
80605,5211,118290,118291,119837,118980,261436,118295,118982,1
38470,51104,117876,117877,117878,117879,117879,19721,117880,1
45408,28241,119170,119171,118522,129229,200658,119788,129231,1
20487,2983,117961,118343,118700,118784,165715,290919,118786,1
80579,23440,117961,117962,118409,118523,310608,118331,118525,1
81458,23225,117961,118300,119984,120647,311441,118398,120649,1
45904,19839,117961,118300,123201,118321,117906,290919,118322,1
74099,1999,118084,118085,131868,128093,139264,119184,128095,1
27729,3281,117961,118225,120323,120591,120592,119095,120593,1
103890,3225,117961,118327,118929,118685,279443,308574,118687,1
75078,15378,118315,118316,125316,119849,168284,118638,119851,1
38704,24708,117916,118011,118599,179731,164223,117887,117973,1
73543,84780,120864,121013,121961,118826,174005,118424,118828,1
75334,18213,117961,118386,125016,118451,126309,118453,118454,1
77098,6870,117978,119216,117941,117885,117913,117887,117888,1
74310,7578,117961,118343,120722,118321,117906,290919,118322,0
79092,15990,117961,118413,125133,119849,128470,118638,119851,1
20222,46663,118256,118257,118623,118995,118806,292795,118997,1
34635,4125,118887,118888,121108,120006,311746,118424,120008,1
4675,54618,117961,118052,118821,118321,117906,290919,118322,1
79693,7560,117961,118300,119195,117905,117906,290919,117908,1
73863,92371,118315,118463,119214,118321,117906,290919,118322,1
33230,56663,117902,117903,118507,118028,118368,117887,118030,0
15365,50997,91261,118026,118202,119962,168365,118205,119964,1
42801,81619,118990,118991,118992,117905,120828,290919,117908,1
74164,4533,117961,118343,118700,118321,117906,290919,118322,1
38721,4757,118212,118213,118458,119849,290535,118638,119851,1
23842,7388,117961,118225,118616,118318,168365,118205,118319,1
75834,23136,117961,118052,119742,118321,117906,290919,118322,1
312089,15781,117961,118300,118395,118890,305057,118398,118892,1
19989,27104,117961,118327,118507,118863,127778,118398,118865,1
39600,7553,117961,118225,118403,117905,240983,290919,117908,1
79092,27104,117961,118327,118507,118890,138290,118398,118892,1
34582,14889,117961,118300,118437,118321,117906,290919,118322,1
16143,53240,117876,117877,117878,117879,167135,19721,117880,1
32270,120114,118725,118726,119076,118422,124426,118424,118425,1
28294,18686,117961,118386,121883,118321,117906,290919,118322,1
75901,3993,117961,118343,119598,124576,124577,118424,124578,1
27124,5899,117961,118327,120318,118641,120319,118643,118644,1
15020,53190,117961,118300,19772,307024,200314,118331,118332,1
3853,5730,117961,118446,118597,120578,137493,118762,120580,1
37445,1755,117961,117962,119223,125793,146749,118643,125795,1
972,4918,117961,118300,123055,120344,311360,118424,120346,1
41371,56783,118216,118217,117920,117879,117886,19721,117880,1
34954,28590,117961,118327,120685,118685,123678,308574,118687,1
117188,7023,117961,117962,119223,118278,118260,290919,118279,1
2341,169,117961,118413,121639,117905,287626,290919,117908,1
31661,49323,118990,118991,118992,118321,117906,290919,118322,1
89148,20105,117961,117969,120823,1.24E+05,133415,118960,1.24E+05,1
36511,60941,117951,117952,118810,119899,310825,19793,119900,1
41128,51127,117961,118446,120368,117905,117906,290919,117908,1
17849,31000,117961,118446,119969,123082,123083,19793,123084,1
33033,15746,117961,118052,119742,117905,117906,290919,117908,1
80195,1483,117961,117962,118840,118641,306399,118643,118644,1
23096,1397,117961,118300,120722,118321,117906,290919,118322,1
75834,49655,117961,118446,122550,117905,117906,290919,117908,1
40918,4571,117961,118225,119924,118685,279443,308574,118687,1
5891,44917,117961,117962,118450,118054,120325,117887,118055,1
27306,1755,117961,117962,119223,125793,305057,118643,125795,1
75270,70243,117961,118327,118492,129909,129910,118453,129911,1
38717,119058,118079,118080,117878,117879,118177,19721,117880,0
75901,25686,118541,118542,118562,126138,127068,124136,126140,1
27755,19547,118742,118743,117941,117879,117897,19721,117880,1
23148,6199,117961,118225,120663,118321,117906,290919,118322,1
36303,14815,117961,118327,118320,123045,123107,120518,123047,1
41235,25323,118006,118007,117920,117899,117897,19721,117900,1
45258,5079,117961,118300,127284,120789,284092,118424,120791,1
79299,15625,118169,118170,119796,119849,310589,118638,119851,1
70811,25237,117961,117962,118910,118321,117906,290919,118322,1
79121,2395,117961,118300,123055,118728,301534,118295,118730,1
17825,89939,117961,118413,122007,128230,302830,4673,128231,1
27122,56112,120140,120141,118492,118451,125738,118453,118454,1
79285,7460,117961,118300,118783,118784,147114,290919,118786,1
16437,4659,117961,118225,120663,118321,117906,290919,118322,1
45337,17615,117961,118052,122392,120097,174445,270488,120099,1
44914,782,117961,118413,127522,118321,240983,290919,118322,1
2997,1397,117961,118300,120722,118321,117906,290919,118322,1
79092,2594,117961,118300,123472,117905,117906,290919,117908,1
20271,69071,117916,118011,117920,118568,300163,19721,118570,1
14848,15409,117943,117944,117945,118274,207240,292795,118276,1
115928,7344,117961,118225,120663,123045,143748,120518,123047,1
80771,4413,117961,118343,118833,117905,117906,290919,117908,1
75052,18213,117961,118386,118692,118451,200947,118453,118454,1
35498,16024,117961,118300,119984,120647,311441,118398,120649,1
38391,213600,118095,118096,118008,1.18E+05,118097,117887,1.18E+05,1
6977,13820,117961,118343,119796,120516,256206,120518,120519,1
27124,86299,117961,118327,120318,117905,117906,290919,117908,1
74310,1030,117961,118343,120722,124194,147669,118363,124196,1
25883,59312,118550,118551,118378,118054,311261,117887,118055,1
76436,48938,118169,118170,118042,118043,285669,270488,118046,1
52684,24099,117916,118011,118599,179731,148617,117887,117973,1
36480,123313,118290,118291,118171,118172,118173,249618,118175,1
81520,1350,117961,118052,122938,117905,117906,290919,117908,1
34483,14952,117961,117962,119223,118054,124424,117887,118055,1
80902,15566,120864,120865,128639,149337,311058,118398,149339,1
40867,20931,118315,118316,151108,124194,268301,118363,124196,1
74142,2371,117961,117962,118501,118502,308462,118504,118505,1
20097,1755,117961,117962,119223,125793,146749,118643,125795,1
2609,2610,117961,118327,121979,118321,240983,290919,118322,1
33217,1467,117961,118343,118833,118834,127160,118424,118836,1
39473,7490,118349,118350,122672,130857,125539,308574,130858,1
43170,4478,117961,118386,118692,1.18E+05,117906,290919,1.18E+05,1
79092,25242,118555,118178,118320,118641,306399,118643,118644,1
20897,126165,117961,118343,127491,118530,278014,118131,118532,1
35792,5496,91261,118026,118202,117905,117906,290919,117908,1
3853,15389,117961,118225,122870,119928,129017,118331,119929,1
23497,70264,117961,118343,118437,118523,311622,118331,118525,1
81402,4620,117961,118300,119181,117905,117906,290919,117908,1
42031,75114,118315,118463,118522,119928,310608,118331,119929,1
684,1505,117961,118327,4674,118321,117906,290919,118322,1
16768,3526,117961,118225,120323,119093,120324,119095,119096,1
33642,65711,118003,118004,117878,118568,292195,19721,118570,0
7543,27147,117961,118343,122299,119949,121350,290919,119951,1
18473,124925,117961,118225,122273,118321,240983,290919,118322,1
41497,51453,118114,118115,117920,117879,117886,19721,117880,1
18072,16900,118256,118257,118623,126684,193644,292795,126685,1
31983,22853,117961,118386,118896,119849,182753,118638,119851,1
92251,27104,117961,118327,118507,118890,311441,118398,118892,1
16767,16850,117961,118225,122298,120591,127477,119095,120593,1
40069,4449,117961,118300,118825,118054,118054,117887,118055,1
37094,70062,117961,118386,118387,117905,117906,290919,117908,1
34365,52108,117961,118343,119993,117905,117906,290919,117908,1
42093,17253,117961,118052,120398,1.20E+05,310997,118424,1.20E+05,1
20351,3005,117961,118413,118481,118784,117906,290919,118786,1
39883,87910,91261,118026,118027,118451,126309,118453,118454,1
41279,23989,117961,118446,118701,118702,146532,118704,118705,1
7543,1398,117961,118300,118437,117905,117906,290919,117908,0
40777,31851,118185,31010,117941,117879,117886,19721,117880,1
4675,13812,117961,118225,118320,118784,118785,290919,118786,1
33642,25765,118006,118007,117941,118568,292195,19721,118570,1
25313,55805,117961,118343,118856,118685,122058,308574,118687,1
32270,2710,118290,118291,120823,118396,269406,118398,118399,1
34581,770,117961,118300,120722,118451,142600,118453,118454,1
20294,56776,117916,117917,117941,118568,128163,19721,118570,1
33146,7913,117961,117962,120677,122067,120065,118424,122069,1
40919,101330,118315,118463,118522,118465,145194,118467,118468,1
40059,50952,117961,118327,118929,118321,117906,290919,118322,0
81350,7265,117961,118343,119598,1.18E+05,240983,290919,118322,1
25628,3954,117961,118343,120291,118422,300136,118424,118425,1
80741,120822,119596,119597,120823,1.21E+05,311441,118398,1.21E+05,1
77300,75256,120864,120865,119796,126820,294510,118638,126822,1
26913,15784,117961,118343,128639,118777,279443,308574,118779,0
14939,3053,117961,118225,120663,118641,306399,118643,118644,1
44874,14752,119134,119135,120054,118321,117906,290919,118322,1
25993,2270,117961,118413,277693,120773,155692,118960,120774,1
45589,56201,91261,118026,118746,119962,168365,118205,119964,1
23096,820,117961,118300,123719,118321,118406,290919,118322,1
74310,4933,117961,118300,118458,307024,215389,118331,118332,1
79889,13827,117961,118343,118514,1.19E+05,279443,308574,1.19E+05,1
43452,48938,118169,118170,118042,118043,285669,270488,118046,1
39932,2819,117961,118300,123472,118321,117906,290919,118322,1
43584,3944,117961,118343,118514,118321,117906,290919,118322,1
37763,50040,117961,118327,118391,118321,117906,290919,118322,1
36237,6232,117961,118343,118437,120516,185973,120518,120519,1
42593,51091,117887,119256,124266,118422,300136,118424,118425,1
75834,3253,117961,118446,120317,208126,133698,124487,208127,1
25231,46170,118290,118291,118889,121527,307233,118398,121529,1
82332,4566,119062,119091,118992,118028,117906,117887,118030,0
42976,17253,117961,118052,120398,118054,118054,117887,118055,1
74883,21287,117961,118225,122870,118777,253787,308574,118779,1
75443,17227,117961,118343,118979,120006,255097,118424,120008,1
42388,15887,117961,118052,120356,1.20E+05,127906,118424,120359,1
30836,16803,119596,119597,120823,118890,123957,118398,118892,1
41570,17465,91261,118026,118202,118278,118260,290919,118279,0
28149,4478,117961,118386,118692,118321,117906,290919,118322,1
16173,5541,117961,118300,118514,118321,117906,290919,118322,1
71940,18220,117961,118052,118867,117905,117906,290919,117908,1
23820,5409,117961,118343,119993,117905,240983,290919,117908,1
41570,16671,117961,118052,118706,118523,310608,118331,118525,1
75078,24973,91261,118026,118229,273308,118029,249618,118232,1
45412,31984,117910,118855,117912,118568,120119,19721,118570,0
34882,3883,117961,118343,119987,118536,132799,308574,118539,1
16764,1475,124034,124035,118575,119192,249967,119184,119194,1
44312,87,117961,118446,118447,118321,117906,290919,118322,1
33642,50495,117910,117911,117878,118568,142278,19721,118570,1
79200,39942,117961,118225,118403,118685,294485,308574,118687,1
28834,3509,118752,119070,118042,118043,118043,270488,118046,1
96929,23804,117961,118413,120526,118784,130730,290919,118786,1
78184,4341,117961,118300,118957,118784,213944,290919,118786,1
28842,901,117902,117903,120428,117905,117906,290919,117908,1
71430,28590,117961,118327,120685,117905,240983,290919,117908,1
7543,4933,117961,118300,118458,307024,301218,118331,118332,1
34988,4972,117961,118052,118395,120647,311441,118398,120649,1
81296,1325,117961,117962,118910,117905,240983,290919,117908,1
18418,51311,117961,118343,121747,119928,136239,118331,119929,1
17795,1334,117961,117962,118910,119949,230830,290919,119951,1
23987,5043,117961,118300,118458,120344,310997,118424,120346,0
78570,50814,117989,117990,131868,119192,277815,119184,119194,1
31222,44062,117961,117962,118910,118321,117906,290919,118322,1
32270,52735,117961,118052,120356,122067,127906,118424,122069,1
39939,53282,118290,118291,120211,117985,121679,19793,117987,0
14666,82284,118953,118954,117884,117885,117913,117887,117888,1
36429,15570,117961,118343,117945,119849,129519,118638,119851,1
4675,21135,117961,118343,123494,118321,117906,290919,118322,1
25269,58865,117961,118446,119064,120097,139690,270488,120099,1
74096,23200,117961,118343,123125,118784,117906,290919,118786,1
5451,6278,117961,118343,120722,118321,117906,290919,118322,1
4675,14839,138798,138799,120539,120952,130134,118453,120954,1
4675,13876,117961,118386,118404,117905,117906,290919,117908,1
20299,58590,118953,118954,117884,118568,146968,19721,118570,0
80929,4933,117961,118300,118458,307024,301218,118331,118332,1
42508,25276,117961,118343,121747,118321,117906,290919,118322,1
39262,7084,117961,118386,121961,118321,117906,290919,118322,1
77939,35976,122532,123330,118317,1.31E+05,258874,119695,130638,1
95384,30533,91261,118026,119507,123045,123107,120518,123047,1
20351,8686,117961,118327,119830,118054,118054,117887,118055,1
19722,7491,117961,118300,119181,118784,118785,290919,118786,1
6921,1930,122880,122974,122870,120097,281292,270488,120099,1
23990,124899,117961,118327,120171,118890,182227,118398,118892,1
28817,718,117961,118300,119181,118641,153273,118643,118644,1
75901,4933,117961,118300,118458,120006,311622,118424,120008,1
16464,6083,117961,117962,122224,118784,117906,290919,118786,1
75078,10987,119170,119171,140453,143183,218938,119788,143185,1
42085,19839,117961,118300,120722,118685,120316,308574,118687,1
105803,32457,117961,118327,118320,118321,117906,290919,118322,1
80845,5396,117961,118343,119993,118321,240983,290919,118322,1
1020,8068,117961,118386,118635,118321,117906,290919,118322,1
75507,5997,117961,118446,16232,118321,117906,290919,118322,1
39331,17326,117961,118386,118746,133306,135146,118205,133308,1
25993,17264,117961,118300,118825,118459,251992,249618,118461,1
917,5043,117961,118300,118458,1.20E+05,310997,118424,1.20E+05,1
74686,2062,117961,118327,119830,1.19E+05,131444,308574,1.19E+05,1
15710,16816,117961,118300,119984,120647,311441,118398,120649,1
21448,1466,117961,118300,123749,125010,157062,118424,125012,1
33642,13971,119615,119616,117895,118568,281735,19721,118570,1
73789,4853,118887,118888,120126,118172,301534,249618,118175,1
27416,71163,117910,117911,117912,117879,117886,19721,117880,0
94167,61948,118163,118164,117878,119192,123881,119184,119194,1
42085,20543,118169,118170,118556,117946,125711,292795,117948,1
38704,36010,117893,117894,117895,117896,117897,117887,117898,1
19965,60121,121785,121786,142145,118321,156948,290919,118322,1
391,51095,117926,118124,118344,179731,130424,117887,117973,1
16358,17225,117961,118300,19772,138019,187788,120518,138021,1
43963,4565,117961,118386,121961,117905,117906,290919,117908,1
75834,7022,119062,119091,118535,118321,117906,290919,118322,1
25103,141,117961,118225,122273,118321,117906,290919,118322,1
42376,54258,117890,118102,117878,118568,292195,19721,118570,1
4673,3692,117961,118413,126229,118784,117906,290919,118786,1
153,154,117961,118413,121639,118784,118785,290919,118786,1
17825,2327,117961,118300,119195,128230,302830,4673,128231,1
94161,26320,117961,118327,118391,118321,117906,290919,118322,1
52683,50426,117980,118076,117912,117885,117913,117887,117888,1
22863,46254,117961,118327,126310,124886,123881,118643,124888,1
44655,3811,120864,121013,118395,118396,269406,118398,118399,1
20226,794,118752,119070,117945,280788,152940,292795,119082,1
78563,131441,117961,118343,118292,119433,133686,118424,119435,1
75078,7913,117961,117962,120677,122067,297566,118424,122069,1
76855,5244,117961,118343,119598,117905,117906,290919,117908,1
18072,3936,117943,117944,117945,1.18E+05,129282,292795,1.18E+05,1
111090,7519,91261,118026,118202,118784,124402,290919,118786,1
26808,1080,117961,118327,118378,118451,123137,118453,118454,1
28507,58466,118602,118603,117920,118568,171084,19721,118570,1
79324,16816,117961,118300,119984,120647,311441,118398,120649,1
4675,54290,119301,119302,119303,117905,117906,290919,117908,1
24016,16139,117961,118327,119995,118054,120514,117887,118055,1
38718,71160,117910,117911,117941,117885,117913,117887,117888,1
75078,1775,120864,121013,128516,118636,194964,118638,118639,1
44857,15570,118752,118753,117945,119849,129519,118638,119851,1
39160,7285,117961,118225,118403,119849,310589,118638,119851,1
76873,21036,117961,118327,121694,126085,306795,119221,126087,1
6502,1549,118084,118085,117884,117879,117886,19721,117880,1
17308,4474,117961,118446,119064,118321,118448,290919,118322,1
15884,52735,117961,118052,120356,122067,127906,118424,122069,1
4675,49696,117961,118052,122938,117905,117906,290919,117908,1
43305,16063,118595,118596,81476,118728,301534,118295,118730,1
23499,52108,117961,118343,119993,117905,117906,290919,117908,1
20292,65488,117926,117927,117941,117879,117886,19721,117880,1
45325,5027,117961,118343,119598,118834,133686,118424,118836,1
79121,22458,117961,117962,120677,307024,306404,118331,118332,1
33080,4669,117961,118327,118391,118321,117906,290919,118322,1
19312,20604,118095,118096,117941,117885,117913,117887,117888,1
20740,51104,117876,117877,117878,118568,189996,19721,118570,1
23921,15389,117961,118225,122870,118636,310589,118638,118639,1
971,3106,117961,118300,120312,124419,137017,118424,124421,1
80724,16541,117961,118225,120551,117905,117906,290919,117908,1
33150,56801,120864,120865,19666,120632,278014,118131,120634,1
73815,10987,119170,119171,140453,143183,218938,119788,143185,1
75834,50089,117961,118343,118514,117905,117906,290919,117908,1
79616,70264,117961,118343,118437,118523,310608,118331,118525,1
34924,4669,117961,118327,118391,118321,117906,290919,118322,1
33150,6751,117961,117969,6725,125687,256635,6725,125689,1
79299,46610,117902,118041,118556,2.81E+05,280788,292795,119082,1
31198,3526,117961,118225,120323,122849,120324,119095,122850,1
79875,240,117961,118386,118404,117905,117906,290919,117908,1
45215,58457,117926,118266,117941,117879,117886,19721,117880,1
117788,19986,117961,118225,124948,120773,136187,118960,120774,1
15716,55163,118752,118753,119121,118274,118806,292795,118276,1
80878,4642,117961,118225,120551,118685,279443,308574,118687,1
18418,16967,117961,118300,125872,120344,267223,118424,120346,1
23885,53369,119920,119921,123766,124886,148437,118643,124888,1
23194,4933,117961,118300,118458,3.07E+05,301218,118331,1.18E+05,1
5349,19645,117961,118413,118481,1.18E+05,117906,290919,1.18E+05,1
80520,16821,117961,118225,120535,118396,269406,118398,118399,1
42972,29762,117961,118052,120398,118728,128963,118295,118730,1
14570,46805,117929,117930,117920,118568,281735,19721,118570,1
44812,5717,117961,118300,124725,117905,117906,290919,117908,1
5112,15888,118595,118596,81476,120344,233010,118424,120346,1
79628,7553,117961,118225,118403,118321,117906,290919,118322,1
75639,41783,118315,118463,119214,119172,127671,118467,119174,1
21743,1855,119134,119135,117895,118568,307041,19721,118570,1
74190,743,117961,118343,120722,118784,117906,290919,118786,1
14666,58526,117890,117891,117878,118568,292195,19721,118570,1
81319,1350,117961,118052,120096,117905,117906,290919,117908,1
4675,17790,117961,118225,119924,118321,117906,290919,118322,1
79363,70264,117961,118343,118437,124435,118362,118363,124436,1
81259,101792,117961,118386,120677,123670,305057,121916,123672,1
15714,49063,118555,118178,119107,118995,119108,292795,118997,1
23921,55064,126918,126919,118042,118043,146409,270488,118046,1
20349,2078,118114,118115,117920,118568,125937,19721,118570,1
79047,4564,118212,118213,121405,117905,117906,290919,117908,1
15007,770,117961,118300,120722,118451,130134,118453,118454,1
73144,4858,118290,118291,120144,118293,118294,118295,118296,1
31918,3071,120864,120865,139897,184274,310016,151277,184276,1
4603,852,117961,117962,122215,121594,302830,4673,121596,1
79092,2983,117961,118343,118700,118321,117906,290919,118322,1
14666,61247,117910,117911,117920,119192,169561,119184,119194,1
74302,2072,118138,118139,131868,119192,308590,119184,119194,1
838,45964,117961,118386,118896,125793,125794,118643,125795,1
18072,51734,118256,118257,117945,117946,119235,292795,117948,0
74356,7991,117961,118327,118378,124000,130061,119772,124002,1
36997,59267,117961,117962,120924,307024,120925,118331,118332,1
20292,58462,117926,117927,117884,118568,281735,19721,118570,1
25993,2594,117961,118300,123472,1.19E+05,117906,290919,1.19E+05,1
38392,47641,117929,117930,117884,117879,117886,19721,117880,1
278393,51314,118595,118596,81476,118834,216197,118424,118836,1
21424,20818,119062,119063,124211,118321,117906,290919,118322,1
1020,35954,117961,117962,120924,307024,120925,118331,118332,1
74902,4588,117961,118225,118403,117905,117906,290919,117908,1
74414,61016,119596,119597,119703,118912,174408,118424,118914,1
70634,4698,117961,117962,118352,117905,117906,290919,117908,1
3853,6285,117961,118300,132427,118321,117906,290919,118322,1
